[2026-09-13 21:25:31 TP0 EP0] Decode batch, #running-req: 1, #full token: 89600, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 687.43, #queue-req: 0
[2026-09-13 21:25:31 TP0 EP0] Decode batch, #running-req: 1, #full token: 89856, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 687.41, #queue-req: 0
[2026-09-13 21:25:32 TP0 EP0] Decode batch, #running-req: 1, #full token: 90112, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 687.41, #queue-req: 0
[2026-09-13 21:25:32 TP0 EP0] Decode batch, #running-req: 1, #full token: 90368, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 688.30, #queue-req: 0
[2026-09-13 21:25:32 TP0 EP0] Decode batch, #running-req: 1, #full token: 90624, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 687.38, #queue-req: 0
[2026-09-13 21:25:33 TP0 EP0] Decode batch, #running-req: 1, #full token: 90880, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 687.69, #queue-req: 0
[2026-09-13 21:25:33 TP0 EP0] Decode batch, #running-req: 1, #full token: 91136, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 687.10, #queue-req: 0
[2026-09-13 21:25:33 TP0 EP0] Decode batch, #running-req: 1, #full token: 91392, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 688.04, #queue-req: 0
[2026-09-13 21:25:34 TP0 EP0] Decode batch, #running-req: 1, #full token: 91648, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 686.45, #queue-req: 0
[2026-09-13 21:25:34 TP0 EP0] Decode batch, #running-req: 1, #full token: 91904, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 687.33, #queue-req: 0
[2026-09-13 21:25:34 TP0 EP0] Decode batch, #running-req: 1, #full token: 92160, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 686.83, #queue-req: 0
[2026-09-13 21:25:35 TP0 EP0] Decode batch, #running-req: 1, #full token: 92416, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 688.21, #queue-req: 0
[2026-09-13 21:25:35 TP0 EP0] Decode batch, #running-req: 1, #full token: 92672, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 688.45, #queue-req: 0
[2026-09-13 21:25:35 TP0 EP0] Decode batch, #running-req: 1, #full token: 92928, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 687.06, #queue-req: 0
[2026-09-13 21:25:36 TP0 EP0] Decode batch, #running-req: 1, #full token: 93184, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 688.02, #queue-req: 0
[2026-09-13 21:25:36 TP0 EP0] Decode batch, #running-req: 1, #full token: 93440, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 687.34, #queue-req: 0
[2026-09-13 21:25:36 TP0 EP0] Decode batch, #running-req: 1, #full token: 93440, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 687.71, #queue-req: 0
[2026-09-13 21:25:37 TP0 EP0] Decode batch, #running-req: 1, #full token: 93696, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 687.44, #queue-req: 0
[2026-09-13 21:25:37 TP0 EP0] Decode batch, #running-req: 1, #full token: 93952, full token usage: 0.02, #swa token: 768, swa token usage: 0.01, accept len: 6.00, accept rate: 1.00, cuda graph: True, gen throughput (token/s): 686.46, #queue-req: 0
